user_id,age,income,account_balance,credit_score,num_transactions,avg_transaction_value,spending_category,risk_profile,income_to_balance_ratio,transaction_frequency,spending_efficiency,financial_health_score,age_income_interaction,high_risk_spending,conservative_profile,target_action
U0001,65,131491.09,25010.76,581,67,11238.22,groceries,high,5.2572,2.23,1.0256,0.3875,85.4692,0,0,invest_more
U0002,31,179514.12,86938.83,732,13,1586.88,travel,high,2.0648,0.43,0.1061,0.6351,55.6494,1,0,invest_more
U0003,35,124383.56,561245.06,729,61,22515.53,groceries,low,0.2216,2.03,2.1722,3.0504,43.5342,0,1,invest_more
U0004,39,142646.49,340250.52,459,60,47864.93,groceries,low,0.4192,2.0,4.0266,1.6472,55.6321,0,1,invest_more
U0005,64,82186.19,358979.38,652,72,40375.7,utilities,high,0.2289,2.4,5.8953,2.9276,52.5992,0,0,stop_spending
U0006,58,33716.97,922295.37,380,146,14729.6,education,medium,0.0366,4.87,5.2423,16.5912,19.5558,0,0,invest_more
U0007,32,46534.83,69555.15,533,79,49262.55,groceries,medium,0.669,2.63,12.7034,1.1476,14.8911,0,0,stop_spending
U0008,31,62814.98,635684.44,673,46,18572.03,health,medium,0.0988,1.53,3.5479,6.3887,19.4726,0,0,invest_more
U0009,28,187964.37,648035.39,475,141,36483.43,utilities,medium,0.2901,4.7,2.3292,2.2921,52.63,0,0,invest_more
U0010,67,61290.09,925391.18,524,88,42158.31,groceries,low,0.0662,2.93,8.2542,9.3057,41.0644,0,1,stop_spending
U0011,54,166142.49,805045.8,710,73,3402.81,health,medium,0.2064,2.43,0.2458,3.2414,89.7169,0,0,invest_more
U0012,33,50399.04,499231.26,769,41,13317.52,health,high,0.101,1.37,3.1709,6.3052,16.6317,0,0,invest_more
U0013,26,59920.91,584585.99,708,97,11044.11,education,medium,0.1025,3.23,2.2117,6.1868,15.5794,0,0,save_money
U0014,45,153598.61,861102.91,456,45,39624.76,education,low,0.1784,1.5,3.0957,3.5783,69.1194,0,1,save_money
U0015,53,83105.79,595888.43,779,140,12645.56,groceries,high,0.1395,4.67,1.8259,4.6687,44.0461,0,0,invest_more
U0016,45,31764.83,884788.45,573,92,5666.45,travel,medium,0.0359,3.07,2.1407,16.9823,14.2942,1,0,save_money
U0017,50,191225.03,875852.94,569,133,38121.91,groceries,high,0.2183,4.43,2.3923,3.0159,95.6125,0,0,invest_more
U0018,28,66704.51,638949.49,503,44,18758.3,education,high,0.1044,1.47,3.3746,5.984,18.6773,0,0,save_money
U0019,69,123799.47,488605.71,414,97,43948.22,entertainment,low,0.2534,3.23,4.2599,2.5629,85.4216,1,1,invest_more
U0020,70,21005.78,878009.6,380,26,36622.19,groceries,high,0.0239,0.87,20.9212,25.2579,14.704,0,0,save_money
U0021,56,34394.38,475282.38,469,72,26430.92,utilities,low,0.0724,2.4,9.2216,8.5119,19.2609,0,1,stop_spending
U0022,60,186493.56,755265.2,505,84,20009.72,health,medium,0.2469,2.8,1.2875,2.6675,111.8961,0,0,invest_more
U0023,39,93239.02,517575.84,423,68,11312.4,groceries,high,0.1801,2.27,1.4559,3.5297,36.3632,0,0,invest_more
U0024,20,53721.8,220217.38,372,20,11524.2,entertainment,low,0.2439,0.67,2.5742,2.6346,10.7444,1,1,invest_more
U0025,54,55220.88,668977.78,519,143,6702.36,education,medium,0.0825,4.77,1.4565,7.513,29.8193,0,0,save_money
U0026,45,159077.69,807497.0,494,29,4936.85,entertainment,medium,0.197,0.97,0.3724,3.2781,71.585,1,0,invest_more
U0027,64,88109.43,863836.75,355,30,3124.57,entertainment,low,0.102,1.0,0.4255,6.0495,56.39,1,1,save_money
U0028,47,46402.11,536285.75,443,113,9256.05,travel,low,0.0865,3.77,2.3937,7.1429,21.809,1,1,pay_debt
U0029,52,163524.23,855966.89,400,17,32642.03,groceries,low,0.191,0.57,2.3954,3.3289,85.0326,0,1,save_money
U0030,31,186009.73,848695.73,470,109,24333.49,utilities,low,0.2192,3.63,1.5698,2.9588,57.663,0,1,save_money
U0031,68,41281.05,2155.38,699,72,46333.25,utilities,medium,19.1437,2.4,13.4686,0.3603,28.0711,0,0,stop_spending
U0032,31,90371.42,957317.64,798,44,9575.9,groceries,high,0.0944,1.47,1.2715,6.7314,28.0151,0,0,invest_more
U0033,50,113017.09,747975.56,358,17,29250.46,education,low,0.1511,0.57,3.1058,4.1394,56.5085,0,1,invest_more
U0034,61,20807.12,507828.5,490,22,29792.25,travel,medium,0.041,0.73,17.182,14.8745,12.6923,1,0,save_money
U0035,55,188903.26,569675.41,340,25,21019.32,education,high,0.3316,0.83,1.3352,1.9694,103.8968,0,0,invest_more
